,time,h_values,x_halley,vx_halley,y_halley,vy_halley,z_halley,vz_halley,x_jupiter,vx_jupiter,y_jupiter,vy_jupiter,z_jupiter,vz_jupiter,x_saturne,vx_saturne,y_saturne,vy_saturne,z_saturne,vz_saturne,x_terre,vx_terre,y_terre,vy_terre,z_terre,vz_terre
0,0.0,6307200.0,208752443562.0,-10384.0,826804313528.0,-12985.0,-180080504407.0,5594.0,-184411002818.46576,14389.0,-762722394481.0,-3438.0,29116469751.0,1056.0,1144786454164.7534,6034.0,-896149379628.0,7708.0,139680536731.0,0.0,111544381359.0,-18258.0,96749779120.0,21278.0,6555016889.0,-3579.0
1,19069.917137888642,19069.917137888642,208554413932.0775,-10384.798166837656,826556660500.1862,-12988.162839055269,-179973820724.33743,5594.688696387585,-184136596594.38318,14389.963203570169,-762787918841.3615,-3434.013060504363,29136606132.014038,1055.847754887691,1144901513177.4475,6033.070004940053,-896002381765.8967,7708.727912409264,139680535649.0952,-0.11346717149256658,111195370036.40314,-18345.29367890304,97154824732.6913,21202.00707020776,6486716835.736355,-3584.1111707933
2,57209.75141366593,23423.069834105678,208158309005.56396,-10386.394735741454,826061173386.4109,-12994.495624282948,-179760413943.90863,5596.067030337101,-183587729109.96762,14391.885307275079,-762918739453.9598,-3426.038155894253,29176870179.119965,1055.542948974625,1145131577993.5942,6031.20973447589,-895708344403.6956,7710.18337895124,139680526993.8571,-0.3404015051820856,110492366383.08006,-18519.059766703736,97960553285.01593,21049.06925969625,6349826872.644697,-3594.1728726342203
3,104055.89108187729,23423.334259518415,207671700565.8013,-10388.356184239812,825452248987.2747,-13002.287011617986,-179498220118.77368,5597.761720397925,-182913469692.1404,14394.238321972383,-763079006642.8098,-3416.240929758571,29226309511.280186,1055.167988290787,1145414063357.5535,6028.924302600863,-895347110215.0864,7711.970435778242,139680504518.47617,-0.6191388481685383,109619849479.38467,-18730.984777731024,98942187828.77602,20859.490416136527,6181169886.326318,-3606.237770361018
4,127479.10686052131,23423.215778644026,207428360369.5668,-10389.337088957223,825147647931.8104,-13006.188114888966,-179367092606.8769,5598.60978235936,-182576296596.8866,14395.41158889953,-763158968612.2764,-3411.3415188740405,29251022740.5661,1054.9802688900336,1145555266767.082,6027.78136821107,-895166460605.5857,7712.86369938879,139680488384.01218,-0.7585083638387663,109179875105.5163,-18836.32106352786,99429666618.75078,20763.98867344822,6096630816.620831,-3612.1486456274693
5,150902.25744141723,23423.150580895926,207184997873.4628,-10390.318106268182,824842956306.0707,-13010.092804663216,-179235945590.15234,5599.458316892277,-182239096983.93542,14396.582686947968,-763238815593.7206,-3406.4416119691778,29275731502.23324,1054.7923914899302,1145696443010.8389,6026.638296155891,-894985790578.0095,7713.75678023369,139680468985.12473,-0.8978774703904985,108737439568.75977,-18941.23696957015,99914901565.42848,20668.014579896146,6011954481.915886,-3617.978302385589
6,174324.24806404885,23421.990622631616,206941624450.9721,-10391.299189622994,824538188273.7092,-13014.000903529113,-179104785188.63257,5600.307284673789,-181901886666.3352,14397.751561220199,-763318543852.3064,-3401.541439501919,29300434638.06669,1054.6043649380508,1145837585489.2747,6025.495139902821,-894805108582.4495,7714.649636561642,139680446322.97714,-1.0372396501469212,108292573598.91835,-19045.726000074617,100397859112.91177,20571.574061228122,5927146753.593552,-3623.7263785888363
7,197744.42522031162,23420.177156262755,206698246894.2716,-10392.280310933878,824233352271.1995,-13017.91230713849,-178973615054.53726,5601.156662299553,-181564675108.69275,14398.918179184418,-763398151173.4667,-3396.641139695257,29325131455.94061,1054.4161945649137,1145978690266.1072,6024.35193140551,-894624419668.4048,7715.542243470703,139680420398.82394,-1.176591010913191,107845299969.51175,-19149.783694757924,100878515197.2198,20474.67130119611,5842211928.587587,-3629.392633397463
8,221163.6298341687,23419.204613857084,206454856466.0966,-10393.261504713482,823928437284.9103,-13021.827160680068,-178842430470.4839,5602.006480556153,-181227450258.7059,14400.082582785986,-763477640424.2059,-3391.740538093873,29349822839.695713,1054.227873696547,1146119762409.3206,6023.208629672162,-894443717356.0195,7716.434633018697,139680391212.31738,-1.3159365524504225,107395612987.13704,-19253.41224011037,101356876497.51343,20377.304307721482,5757148887.883327,-3634.97718884817
9,244582.6482766312,23419.018442462486,206211444992.93555,-10394.242803201925,823623432998.5352,-13025.745600739167,-178711227021.8784,5602.856768317356,-180890200845.7774,14401.244810955643,-763557014270.3181,-3386.839471587072,29374509615.040714,1054.0393960755446,1146260806654.5332,6022.06519635448,-894262995583.4377,7717.32683515945,139680358762.7204,-1.4552809499230976,106943507700.63216,-19356.61352165213,101832948295.51224,20279.471250131086,5671956693.91373,-3640.4801425625315
